week,2019,2020,2021,2022,2023,2024
Week 1,122.214605110411,116.7473818575,128.553622598633,149.269482649892,158.70738366278238,177.780468783277
Week 2,116.262766115101,114.800438629989,125.532398506128,143.444812719648,147.4732246343141,178.75469438276
Week 3,117.49876519383,119.372953725729,125.19853783232,143.134915984993,146.10598258457918,177.179217746141
Week 4,116.154746370793,119.420149837249,124.913310167274,143.957346133624,146.03372182616195,178.036040814388
Week 5,119.571381004055,113.96704945368,126.810014950341,148.17924943294,147.5768266177581,179.261920429306
Week 6,116.003751059444,115.202368768028,129.404740838041,144.236689411518,147.64126769154788,185.090139167895
Week 7,116.835220708494,118.672811105673,130.835490428988,146.495028183356,151.10528642824187,185.621492241312
Week 8,115.642815186449,116.59530758176,128.759331459838,148.055437850663,153.18983636367582,178.555166765688
Week 9,116.456703974548,117.580278888342,137.027973017899,146.556982096941,150.95315111864582,178.126762636764
Week 10,118.243544181144,120.658042959329,138.10837626954,144.249211445774,151.90709257360518,180.342153649324
Week 11,116.253343595678,117.458442429519,140.190350720103,148.657075430102,155.39918895313812,179.55602818606
Week 12,115.454450903143,117.904165587582,136.007733247763,145.699403016299,151.10397042077568,180.204053268862
Week 13,114.940884741112,108.654604943741,138.481015219353,145.523704618939,153.2536650675287,178.483847874296
Week 14,114.264172189829,114.61537403926,137.366925459294,146.73120782511,156.40640043504231,168.797662170715
Week 15,115.722071732326,116.822061358124,133.601258777934,146.126282115645,154.64329493462685,
Week 16,114.101531442305,110.866971061335,132.255351125518,144.233612787358,150.8676730257158,
Week 17,115.262646920403,110.471362010649,133.003639902698,140.599377357937,150.39403986758248,
Week 18,111.468544151747,112.814637227336,132.604353896066,141.416601844877,154.44627829822855,
Week 19,112.715458271646,111.405841527496,131.973972679522,140.489784600719,153.78890663524226,
Week 20,115.486832551371,113.498147321788,132.711623185565,141.094041823634,155.0419494794392,
Week 21,116.207191385337,118.859578124373,135.307179001655,143.616376831777,157.70238811727165,
Week 22,117.938460109595,121.870837919061,139.127701255595,147.723496938896,161.08089380454948,
Week 23,118.068353965058,122.5333431479,138.775906232635,146.61978376171,159.51988192313712,
Week 24,119.581412846178,124.032498061176,139.981058202592,147.785565098165,162.1403613650307,
Week 25,119.666322433408,121.8201128436,141.560775253106,149.774193623691,164.36397908577914,
Week 26,129.133697222637,128.641683750468,153.305226277669,152.227484717927,165.8437783258667,
Week 27,125.256247277315,129.504234688614,154.687554613811,157.078898017503,171.45962303114243,
Week 28,125.364579967056,129.322406335959,153.143843555052,154.666424475233,167.94471155681225,
Week 29,125.605210933197,130.512302432397,154.90855114115,154.652867244693,168.6590424670824,
Week 30,126.290478775148,130.081485745419,155.584378518063,155.206216174212,169.53375319996564,
Week 31,126.723935208382,130.47340717381,160.657984690095,156.735200808561,171.41028974141113,
Week 32,127.610045245984,129.500537146045,158.297073191388,155.813659908496,171.41470288454138,
Week 33,124.590318655993,127.799643974226,156.21493843069,154.27272804145,170.31866223992887,
Week 34,124.28188548525,125.352441607274,150.081927864649,150.847945166128,166.59153972435834,
Week 35,117.794644339233,123.111243055242,142.282792304958,147.671573506157,164.39798631087027,
Week 36,119.57727252066,119.144905066953,136.561706227929,142.581036554803,158.76021646011617,
Week 37,116.315185528081,117.912002460095,138.677820959829,140.915501388981,157.1955880949314,
Week 38,117.129913643366,120.100585441232,143.574547329511,141.001216391631,157.04680114595362,
Week 39,115.562032808075,119.804217230377,144.008987559108,140.825915175257,157.24963082930745,
Week 40,115.127277984496,119.943758317621,144.605412109246,141.320805631171,157.76921504648436,
Week 41,115.531057534342,120.530033103518,142.184659594203,139.872767952995,155.27782072778274,
Week 42,119.57727252066,120.57403320237,142.720283381558,138.986049767242,154.47856386081898,
Week 43,110.197085923894,120.049211779176,141.396022511499,137.434148957662,154.3525460221399,
Week 44,111.830028806042,119.492986547363,143.438833857651,137.942697069897,155.3187550003532,
Week 45,112.379986273397,120.00374675732,137.746751041821,140.293637969958,156.42969378892056,
Week 46,109.002398359115,119.941464051695,135.797984769644,139.879274867198,157.6989398130788,
Week 47,116.434797047429,124.122430432297,143.043717256962,147.313664423955,167.73503593425806,
Week 48,111.854578628616,119.727359683941,138.775021286353,141.52389018656,169.26435420620638,
Week 49,111.541084645958,119.002184386724,137.988463378928,140.958099903232,172.90257243862655,
Week 50,114.085821931947,122.180773240494,139.591029190013,141.014342165413,179.34489256616055,
Week 51,133.724382825735,140.810606255588,153.401648117552,153.234206330908,187.30344797690725,
Week 52,141.79899681169,159.261807736148,167.167300454452,172.758951549586,193.19204921761556,
Week 53,,,,,201.63052138796064,
