week,2019,2020,2021,2022,2023
Week 1,4.258939486552567,3.978794949217678,5.242313452559246,4.658977495107632,4.5393123564182645
Week 2,4.0721400216528325,3.918777669798078,5.197799789621318,4.652251591919007,4.479765214704973
Week 3,4.00154207666324,3.948900665238471,5.308405724117672,4.532999417085861,4.44947273899429
Week 4,4.056938145508594,3.922121433129729,5.305754632967219,4.5494273276700055,4.4527476883970944
Week 5,3.9142116599131165,3.852280955829109,5.019817258883249,4.370447267480733,4.265508126652044
Week 6,3.8476372539155514,3.782818608800609,5.216149477323237,4.294838621816696,4.2319696281545145
Week 7,3.8597517730496453,3.7691411541587647,5.140367221769341,4.409899249442153,4.26912229933541
Week 8,3.862887979926443,3.7773832450649976,4.724544377182025,4.386250976266756,4.223697872097667
Week 9,3.918032786885246,3.8778089389044696,4.73822523549529,4.282336375995339,4.273696836099585
Week 10,3.8546032569908517,4.137715559000194,4.5386559014869885,4.318229835367538,4.160589612955501
Week 11,3.8510603374696344,6.7907423208191124,4.423738906059489,4.209577780340346,4.19933649705598
Week 12,3.8464851768348085,8.123493654687,4.370325132321294,4.256073003899508,4.174138168854181
Week 13,3.8637729440198574,8.372600926538716,4.454050060035097,4.204917406518849,4.155096233056242
Week 14,3.809917889700653,8.624145785876992,4.544774999249497,4.182830722298134,4.165754523789564
Week 15,3.742482170428645,8.038854263360298,4.435015746020938,4.23673682966764,4.180189002017437
Week 16,3.8461594732991955,7.889091350826044,4.556888325830885,4.18748592206455,4.17105044022783
Week 17,3.9001315390063747,7.653635255889521,4.738378574576754,4.24186442669173,4.160646533763186
Week 18,3.811681869099056,7.125597028126658,4.496485816857966,4.206582976117575,4.181790962018297
Week 19,3.8860395132801258,6.333208508088676,4.4722066528573166,4.2412054268219475,4.147572680645124
Week 20,3.808000802085422,5.5172727272727276,4.506971899339504,4.1100225174846035,4.115330057534527
Week 21,3.8562051903463597,5.580136812769192,4.521041087217059,4.1555603534691485,4.1723965631483475
Week 22,3.8189682191437346,5.050662920361752,4.445470750283585,3.998591655940032,4.122192844839881
Week 23,3.869009009009009,4.665846566763587,4.247298972724052,4.060583555891972,4.233532032755298
Week 24,3.905172141752659,4.560471661144954,4.308529080350178,4.039177204916703,4.077012945017576
Week 25,3.7600979192166464,4.651933892281682,4.179131625687445,4.0810570203421515,4.178477608206155
Week 26,3.7880146133300587,4.800871126479585,4.144752840551758,4.0438843141193015,4.158012599386995
Week 27,3.75080220032088,4.45099028212112,4.07822224129791,4.02463485029591,NA
Week 28,3.828840161239601,4.267123287671233,4.021005046257359,3.9736710200217202,NA
Week 29,3.7096580142569255,4.310383593377393,3.965085861356061,3.9795108406024737,NA
Week 30,3.7016584179907963,4.4084569783778225,4.098273682465339,4.03520526251675,NA
Week 31,3.7276638176638177,4.239429427384762,4.094168842471714,4.052257744382222,NA
Week 32,3.6808953963114175,4.244040261345576,4.183572093848405,3.9909927772270217,NA
Week 33,3.728412138320395,4.469634760255632,4.165401374601321,4.049601696372285,NA
Week 34,3.7614762761733367,4.473510171806484,4.1106002208848915,4.0108028343518995,NA
Week 35,3.767779971189244,4.359800652002848,4.3159706495153545,4.083813841467734,NA
Week 36,3.641627500273254,4.429960784313725,4.220734846711912,4.09510313796529,NA
Week 37,3.6474887133182845,4.45330007522667,4.141713388162918,4.044506822160809,NA
Week 38,3.7770231411748596,4.58790481158955,4.252833340858807,4.021710332646453,NA
Week 39,3.657559900853759,4.666425905862526,4.260511308194375,4.05197777051324,NA
Week 40,3.6358736008360606,4.555218971784663,4.29466315528845,4.181043710318333,NA
Week 41,3.6516377762735805,4.684438490734539,4.258913412563667,4.205974088291747,NA
Week 42,3.7544774084063155,4.892531044558072,4.34071378463697,4.18125374925015,NA
Week 43,3.898688258169366,5.0420026538736344,4.382872579134261,4.241409678017428,NA
Week 44,4.034209055338178,5.255646462318507,4.3537461048638395,4.225547153571868,NA
Week 45,3.821501834676837,4.986305077406084,4.230385859212333,4.395873972004182,NA
Week 46,3.8614466771541363,4.956625850340136,4.242677541456381,4.167566752149646,NA
Week 47,3.6398270421876826,5.124618961508654,4.231218570630365,4.311294811753138,NA
Week 48,3.8201732491557774,5.256164997758183,4.31501866564564,4.383772259091319,NA
Week 49,3.910928120187321,4.996204554534558,4.271154685214178,4.289555476414026,NA
Week 50,3.8397858945895806,4.844216141460041,4.338693517683599,4.331759620979137,NA
Week 51,3.627452323073236,4.804695049167282,4.402572141903269,4.303565524561923,NA
Week 52,3.954710899947209,5.183273390405755,4.50817564788153,4.1910663690900165,NA
