NUTS2,Value
AL01,0
AL02,0
AL03,0
AT11,-7.862407862407863
AT12,42.51968503937008
AT13,-18.652674339878132
AT21,2.9172644667623144
AT22,0.8048937540244688
AT31,5.746445497630331
AT32,-11.806901899961225
AT33,-13.63336630398945
AT34,34.56561922365989
BE10,-24.986390854654328
BE21,1.082004555808656
BE22,17.07070707070707
BE23,0.3076923076923077
BE24,-7.359705611775529
BE25,31.29516397998888
BE31,10.683760683760683
BE32,36.99222126188418
BE33,9.655172413793103
BE34,12.2573488630061
BE35,19.473684210526315
BG31,-8.771929824561402
BG32,-17.75862068965517
BG33,-22.255192878338278
BG34,-43.53658536585366
BG41,-42.6558157999206
BG42,-41.61528976572133
CH01,-39.145028499050035
CH02,18.621307072515666
CH03,-43.86753883892069
CH04,-31.879872942535375
CH05,-23.892133287530058
CH06,-2.6113013698630136
CH07,-5.9619722848855945
CY00,-2.9644268774703555
CZ01,-59.62135319677218
CZ02,-25.304878048780488
CZ03,-35.85633719204512
CZ04,-7.679324894514767
CZ05,-38.97319170460293
CZ06,-38.51971907077256
CZ07,-26.77165354330709
CZ08,-22.244094488188974
DE11,-6.568547288089397
DE12,-1.8440069773236982
DE13,5.502002076227199
DE14,7.304299889746417
DE21,-17.787260616153205
DE22,68.47662141779789
DE23,47.4559686888454
DE24,16.853932584269664
DE25,-17.180883242589232
DE26,46.894626657362174
DE27,21.760118826587448
DE30,-46.717622080679405
DE40,-0.8998875140607425
DE50,6.102522375915378
DE60,-27.185593958756897
DE71,-25.54934823091248
DE72,19.058823529411764
DE73,40.734693877551024
DE80,-26.43817500551025
DE91,6.1902783547985045
DE92,-54.24118129614438
DE93,-10.988023952095809
DE94,0.1999500124968758
DEA1,-35.31021897810219
DEA2,-31.843165994869914
DEA3,7.653429602888087
DEA4,-3.4408602150537635
DEA5,11.589635854341736
DEB1,19.176136363636363
DEB2,25.804289544235925
DEB3,6.204379562043796
Dec-00,0
DED2,6.440903054448871
DED4,25.15644555694618
DED5,-16.615067079463365
DEE0,20.958083832335326
DEF0,-4.684463536872252
DEG0,17.423200366804217
DK01,-49.54390659207006
DK02,-2.703844528939586
DK03,-13.92638036809816
DK04,-33.46490475373262
DK05,-22.876033057851238
EE00,-25.29207451847174
EL30,-19.48861468006615
EL41,-41.90850959173635
