Period,AIRBNB,BOOKING,VRBO
5-2020,-79.34696080673419,-91.0233481333942,-77.82082691497449
6-2020,-64.1750732273711,-71.9671401631335,-39.95880203142057
7-2020,-43.68889046706952,-47.78837569096209,-22.798329736910446
8-2020,-32.11368536440607,-31.048186256824874,-17.2216584480288
9-2020,-41.00818118236368,-36.59047983932521,-19.161335688682318
10-2020,-41.54633918310434,-47.55380139146171,-27.865260144148145
11-2020,-48.991325823155684,-63.69689426343267,-31.472268887679533
12-2020,-48.56661756451704,-55.99584009740259,-33.636678461190996
5-2021,-26.17240161657703,-51.323014786229024,-5.449604643956637
6-2021,-31.250310598593924,-36.859576916049114,8.247377663866343
7-2021,-17.53609512444481,-20.87652553940196,-19.332030734798824
8-2021,-13.724609067454791,-7.545911030837979,11.997638947674389
9-2021,-21.288696677171725,-10.548473320143314,-10.485190457406485
10-2021,-15.842970681179002,-13.439965439363846,-12.55440003980724
11-2021,-12.91123510564125,-4.585210316933814,7.3518798949435675
12-2021,-16.788376271161514,3.153860028860029,-25.58578634344651
5-2022,10.399521643365679,18.826334426048106,-7.046633510409444
6-2022,0.5823642811155131,17.833884076664404,6.133940860980588
7-2022,11.987378054080787,19.13595025006141,-12.984922218007133
8-2022,6.772929056795745,15.812549601485996,-4.689085614918994
9-2022,0.5974056552739414,18.12979098509089,-17.273569211243935
10-2022,5.453361592116169,20.088648279302422,-13.92832400032152
11-2022,-1.1887823249692515,21.250508075504758,-2.7935191538698154
12-2022,-8.713335768015627,49.643138979076475,-28.472784762478355
