month,Asia,Europe,Latin America,North America,Oceania
2018-01,735778,4433302,426935,1614124,247518
2018-02,737466,4507481,431142,1595645,254784
2018-03,764830,4544142,441863,1605421,259708
2018-04,776131,4775908,446468,1676755,273211
2018-05,767307,4712053,423758,1608017,260960
2018-06,755226,4869105,426117,1621133,259245
2018-07,759500,4956477,438148,1665103,241424
2018-08,838242,5150919,463000,1775647,250353
2018-09,941489,5431262,499895,1885141,263474
2018-10,953632,5351496,509192,1889610,267767
2018-11,973782,5292271,513391,1895219,271476
2018-12,1004334,5387058,536799,1900468,278854
2019-01,1116046,5625920,648431,2076810,296189
2019-02,1053138,5446232,629815,2033538,289041
2019-03,1076253,5499869,626347,2043785,285597
2019-04,1102834,5567198,626291,2082469,283955
2019-05,1153642,5750155,635587,2154307,287576
2019-06,1150507,5903084,608474,2138201,286747
2019-07,1165684,6046453,624186,2171254,291467
2019-08,1164622,6089916,613361,2178043,291748
2019-09,1163988,6069119,621738,2196167,292202
2019-10,1199585,5942581,632020,2220773,297422
2019-11,1189116,5734237,637443,2238983,302982
2019-12,1210762,5736475,641868,2245366,310216
2020-01,1234976,5831171,700988,2270351,312809
2020-02,1222122,5982554,702221,2277028,308346
2020-03,1212386,6013583,692226,2282672,304920
2020-04,1055607,5895819,647230,2252110,295864
2020-05,1196018,5794788,639215,2212352,293181
2020-06,1168756,5887593,611429,2158065,279251
2020-07,1171643,5978537,605280,2096144,273405
2020-08,1166756,6023789,614677,2099361,270619
2020-09,1152778,5955029,617021,2268249,286666
2020-10,1133036,5721484,622921,2272938,285138
2020-11,1097202,5456048,632328,2242649,280673
2020-12,1095586,5377907,649610,2241511,282888
2021-01,1084708,5381463,666178,2260980,281521
2021-02,1061725,5352241,663767,2236569,276151
2021-03,1066969,5462088,658621,2259361,275874
2021-04,1060111,5548068,648040,2252534,272675
2021-05,1025789,5687444,637178,2238397,268677
2021-06,1016694,5854473,637459,2263487,267097
2021-07,1013937,5919863,639331,2269874,265520
2021-08,997979,5826888,637029,2294414,260911
2021-09,1003735,5755741,645324,2300864,257675
2021-10,1005501,5602950,666780,2334000,258504
2021-11,1002402,5359397,682302,2340267,258154
2021-12,988708,5276160,711391,2370127,256319
2022-01,1016031,5559151,752288,2459916,259607
2022-02,983321,5609199,742278,2476584,257223
2022-03,1001600,5867479,748567,2622633,265526
2022-04,1019346,5979719,755092,2764540,273193
2022-05,1011534,6095201,747431,2829962,272127
2022-06,996390,6334273,751815,2865040,272516
2022-07,991857,6739971,770252,3174206,292261
2022-08,880814,6680405,784892,3213743,296253
2022-09,753202,6019760,792081,2906718,300034
2022-10,774217,5919109,814593,3034669,310066
2022-11,780539,5757799,834869,3063138,322201
2022-12,839986,6624483,895105,3565583,339728
2023-01,854015,6844986,934005,3656239,344174
2023-02,857430,6895315,936818,3641917,343902
2023-03,879172,7117230,945616,3708661,349516
2023-04,905095,7261111,952317,3703875,349047
2023-05,940019,7580616,963362,3820269,358592
2023-06,969444,7859976,979234,3868159,362971
